Country_Region,Confirmed,Deaths,Population,Continent
Trinidad and Tobago,52728,1551,1399491,North America
Tunisia,709834,25028,11818618,Africa
Turkey,7444522,66180,84339067,Asia
United States,44340183,713095,331002647,North America
Uganda,124646,3176,45741000,Africa
Ukraine,2657699,62332,43733759,Europe
United Arab Emirates,737766,2113,9890400,Asia
United Kingdom,8192589,138139,67886004,Europe
Uruguay,390038,6064,3473727,South America
Uzbekistan,178259,1269,33469199,Asia
Venezuela,383376,4617,28435943,South America
Vietnam,839662,20555,97338583,Asia
West Bank and Gaza,441882,4465,4430000,Asia
Yemen,9369,1778,29825968,Asia
Zambia,209347,3654,18383956,Africa
Zimbabwe,131796,4637,14862927,Africa
