date,state,state_abbrev,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines
2021/9/20,South Australia,SA,0,0,3563,0,0,0,0,0,8564
2021/9/20,Tasmania,TAS,0,0,910,0,0,0,0,0,3049
2021/9/20,Victoria,VIC,552,1,50915,552,138,5,4,2,54587
2021/9/20,Western Australia,WA,1,0,10207,1,1,0,0,0,13455
2021/9/21,Australian Capital Territory,ACT,16,0,2876,16,13,5,0,1,7193
2021/9/21,New South Wales,NSW,1004,10,121661,1004,0,61,6,-5,126700
2021/9/21,Northern Territory,NT,0,0,1845,0,0,0,0,0,1700
2021/9/21,Queensland,QLD,1,0,9781,1,1,1,-1,0,53868
2021/9/21,South Australia,SA,0,0,4318,0,0,0,0,0,15716
2021/9/21,Tasmania,TAS,0,0,1072,0,0,0,0,0,5317
2021/9/21,Victoria,VIC,588,1,48829,588,262,32,1,-1,88400
2021/9/21,Western Australia,WA,0,0,4363,0,1,0,0,0,22274
2021/9/22,Australian Capital Territory,ACT,17,0,2172,17,22,2,0,0,11788
2021/9/22,New South Wales,NSW,1021,5,133839,1021,0,-36,0,4,129504
2021/9/22,Northern Territory,NT,2,0,2058,2,1,1,0,0,2064
2021/9/22,Queensland,QLD,1,0,11845,1,0,-6,0,0,48145
2021/9/22,South Australia,SA,1,0,6052,1,1,0,0,0,17560
2021/9/22,Tasmania,TAS,0,0,1185,0,0,0,0,0,5180
2021/9/22,Victoria,VIC,620,3,60829,620,394,16,-2,-2,92524
2021/9/22,Western Australia,WA,0,0,4005,0,0,0,0,0,25245
2021/9/23,Australian Capital Territory,ACT,16,0,2923,16,27,0,0,0,7916
2021/9/23,New South Wales,NSW,1043,6,139182,1043,0,12,-9,-10,125615
2021/9/23,Northern Territory,NT,0,0,1834,0,0,0,0,0,2444
2021/9/23,Queensland,QLD,2,0,13857,2,1,0,0,0,53532
2021/9/23,South Australia,SA,1,0,5577,1,2,0,0,0,18604
2021/9/23,Tasmania,TAS,0,0,959,0,0,0,0,0,7285
2021/9/23,Victoria,VIC,745,4,62408,745,298,0,2,4,96298
2021/9/23,Western Australia,WA,0,0,3124,0,0,0,0,0,25591
2021/9/24,Australian Capital Territory,ACT,19,0,3260,19,17,0,0,0,8773
2021/9/24,New South Wales,NSW,1026,11,131668,1026,0,-58,-1,-2,126728
2021/9/24,Northern Territory,NT,0,0,1544,0,0,0,0,0,2464
2021/9/24,Queensland,QLD,0,0,11100,0,2,0,0,0,57703
2021/9/24,South Australia,SA,0,0,6065,0,0,0,0,0,17921
2021/9/24,Tasmania,TAS,0,0,891,0,0,0,0,0,5752
2021/9/24,Victoria,VIC,718,1,56520,718,223,40,6,5,101878
2021/9/24,Western Australia,WA,1,0,4279,1,0,0,0,0,26577
2021/9/25,Australian Capital Territory,ACT,32,0,2242,32,12,-2,2,1,8371
2021/9/25,New South Wales,NSW,995,11,108105,995,0,1,-3,8,140511
2021/9/25,Northern Territory,NT,0,0,1446,0,0,0,0,0,2686
2021/9/25,Queensland,QLD,1,0,9727,1,4,-6,0,0,51406
2021/9/25,South Australia,SA,0,0,4491,0,2,0,0,0,17130
2021/9/25,Tasmania,TAS,0,0,833,0,0,0,0,0,5175
2021/9/25,Victoria,VIC,836,1,59342,836,384,24,-1,-1,60730
2021/9/25,Western Australia,WA,0,0,0,0,0,0,0,0,25266
2021/9/26,Australian Capital Territory,ACT,25,0,2192,25,18,0,0,0,7892
2021/9/26,New South Wales,NSW,948,9,106451,948,0,-41,-7,-1,85578
2021/9/26,Northern Territory,NT,0,0,1426,0,0,1,0,0,902
2021/9/26,Queensland,QLD,0,0,8018,0,0,0,0,0,34965
2021/9/26,South Australia,SA,1,0,4056,1,0,0,0,0,11373
2021/9/26,Tasmania,TAS,0,0,288,0,0,0,0,0,4597
2021/9/26,Victoria,VIC,767,2,46322,767,356,4,8,9,59691
2021/9/26,Western Australia,WA,0,0,0,0,0,0,0,0,14375
2021/9/27,Australian Capital Territory,ACT,19,1,7259,19,3,-2,-1,0,6154
2021/9/27,New South Wales,NSW,778,12,93577,778,0,9,-8,0,40539
2021/9/27,Northern Territory,NT,1,0,1062,1,0,0,0,0,735
2021/9/27,Queensland,QLD,0,0,5877,0,7,0,0,0,26749
2021/9/27,South Australia,SA,0,0,3537,0,2,0,0,0,8280
2021/9/27,Tasmania,TAS,0,0,1048,0,0,0,0,0,2463
2021/9/27,Victoria,VIC,834,1,51252,834,315,38,2,2,49514
2021/9/27,Western Australia,WA,1,0,7589,1,0,0,0,0,10948
2021/9/28,Australian Capital Territory,ACT,13,0,2002,13,25,0,0,0,8676
2021/9/28,New South Wales,NSW,852,7,132279,852,0,0,-1,-4,127855
2021/9/28,Northern Territory,NT,1,0,2235,1,0,1,0,0,1532
2021/9/28,Queensland,QLD,6,1,9324,6,4,0,0,0,42708
2021/9/28,South Australia,SA,0,0,4330,0,0,0,0,0,17342
2021/9/28,Tasmania,TAS,0,0,886,0,0,0,0,0,4584
2021/9/28,Victoria,VIC,859,4,49450,859,132,12,6,5,91292
2021/9/28,Western Australia,WA,0,0,3298,0,0,0,0,0,9434
2021/9/29,Australian Capital Territory,ACT,22,0,4680,22,28,2,0,0,11394
2021/9/29,New South Wales,NSW,859,15,120281,859,0,-73,-1,-5,129124
2021/9/29,Northern Territory,NT,0,0,1040,0,0,0,0,0,1473
2021/9/29,Queensland,QLD,1,0,11208,1,2,3,0,0,51680
2021/9/29,South Australia,SA,0,0,5741,0,1,0,0,0,17598
2021/9/29,Tasmania,TAS,0,0,1155,0,0,0,0,0,4856
2021/9/29,Victoria,VIC,929,7,61322,929,293,-4,0,-6,90066
2021/9/29,Western Australia,WA,0,0,4990,0,3,0,0,0,25739
2021/9/30,Australian Capital Territory,ACT,31,0,1704,31,22,0,0,0,6149
2021/9/30,New South Wales,NSW,933,6,120993,933,0,8,1,-3,114338
2021/9/30,Northern Territory,NT,1,0,1655,1,0,1,0,0,2292
2021/9/30,Queensland,QLD,6,0,14170,6,0,-1,0,0,51838
2021/9/30,South Australia,SA,0,0,4415,0,0,0,0,0,18140
